,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamepublisher2,suggested_language_dependence3,cat1,cat2,cat3,other cat,mech1,mech2,mech3,other mech
34,The Resistance: Avalon,2730,128882,2012,98,7.63,22426,181.33626373626373,0.11058364290505317,1.7782,10,13,5,30,31687,30,1.50475,538,277,3051,2012,Don Eskridge,"Indie Boards & Cards, Broadway Toys LTD, Devir, Edge Entertainment, Gém Klub Kft., Heidelberger Spieleverlag, Hobby Japan, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lanlalen, Portal Games, Raven Distribution, Wargames Club Publishing",Some necessary text - easily memorized or small crib sheet,Bluffing, Card Game, Deduction," Fantasy, Medieval, Negotiation, Party Game, Spies/Secret Agents",Hidden Traitor, Memory, Partnerships," Simultaneous Action Selection, Variable Player Powers, Voting"
35,Roll for the Galaxy,2780,132531,2014,67,7.73,21292,247.58345323741008,0.10999897713844807,2.7641,5,13,2,45,26889,45,1.3194,383,1238,6234,2014,Wei Hwa Huang    Thomas Lehmann,"Rio Grande Games, Crowd Games, Devir, Games Factory Publishing, Gigamic, Pegasus Spiele",Moderate in-game text - needs crib sheet or paste ups,Civilization, Dice, Economic," Science Fiction, Space Exploration",Deck / Pool Building, Dice Rolling, Simultaneous Action Selection," Variable Phase Order, Variable Player Powers"
36,Machi Koro,3133,143884,2012,843,6.66,21030,177.8174273858921,0.06737023667600747,1.5469,4,10,2,30,33046,30,1.3650799999999998,1103,251,2124,2012,Masao Suganuma,"Grounding, Devir, Gameland 游戏大陆, GoKids 玩樂小子, Happy Baobab, Hobby World, HomoLudicus, IDW Games, Japon Brand, KOSMOS, MINDOK, Moonster Games, NeoTroy Games, Pandasaurus Games, uplay.it edizioni, White Goblin Games",Moderate in-game text - needs crib sheet or paste ups,Card Game, City Building, Dice,,Card Drafting, Dice Rolling,,
37,Forbidden Desert,2856,136063,2013,301,7.2,20884,173.23074229691883,0.14290561854993322,2.0472,5,10,2,45,36160,45,1.14983,722,516,4368,2013,Matt Leacock,"Gamewright, ADC Blackfire Entertainment, AURUM, Inc., Cocktail Games, Competo / Marektoy, Devir, FoxMind Israel, Lifestyle Boardgames Ltd, Rebel, Reflexshop, Schmidt Spiele, uplay.it edizioni, White Goblin Games",Some necessary text - easily memorized or small crib sheet,Adventure, Fantasy, Science Fiction,,Action Point Allowance System, Cooperative Play, Grid Movement," Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers"
38,Star Wars: X-Wing Miniatures Game,2757,103885,2012,74,7.76,20701,224.24809575625682,0.11045407540584293,2.4787,2,14,2,30,34741,45,1.42811,698,306,2122,2012,Jason Little,"Fantasy Flight Games, cutia.ro, Delta Vision Publishing, Edge Entertainment, Galakta, Galápagos Jogos, Giochi Uniti, Heidelberger Spieleverlag, Hobby World, Korea Boardgames co., Ltd., Martinex, Peliko, Stratelibri, Wargames Club Publishing",Moderate in-game text - needs crib sheet or paste ups,Aviation / Flight, Bluffing, Collectible Components," Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Action / Movement Programming, Dice Rolling, Player Elimination," Simultaneous Action Selection, Variable Player Powers"
39,Smash Up,2809,122522,2012,703,6.81,20470,200.10466358134568,0.09359255783496488,2.0539,4,12,2,45,33910,45,1.49044,1139,226,2081,2012,Paul Peterson,"Alderac Entertainment Group, Arclight, Bard Centrum Gier, Edge Entertainment, Galápagos Jogos, Hobby World, IELLO, Kaissa Chess & Games, MYBG Co., Ltd., Pegasus Spiele, uplay.it edizioni",Extensive use of text - massive conversion needed to be playable,Card Game, Fantasy, Humor," Pirates, Science Fiction, Zombies",Area Control / Area Influence, Hand Management, Take That, Variable Player Powers
40,Istanbul,2411,148949,2014,95,7.61,19774,205.27581916217338,0.1225428206621999,2.5925,5,10,2,40,24933,60,1.12988,325,867,4128,2014,Rüdiger Dorn,"Pegasus Spiele, 2 Pionki, Albi, Alderac Entertainment Group, Asterion Press, Devir, Grow Jogos e Brinquedos, Hobby Japan, Hobby World, Lex Games, Matagot, Piatnik, Portal Games, Swan Panasia Co., Ltd., White Goblin Games",No necessary in-game text,Economic,,,,Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver
41,Concordia,2837,124361,2013,19,8.1,19697,248.920690870638,0.12342985562265905,3.0763,5,13,2,100,23245,100,1.1862700000000002,163,1566,6680,2013,Mac Gerdts,"PD-Verlag, 999 Games, Cranio Creations, Crowd Games, Ediciones MasQueOca, Egmont Polska, Gém Klub Kft., Heidelberger Spieleverlag, Lex Games, New Games Order, LLC, Playfun Games, Rio Grande Games, Ystari Games",Moderate in-game text - needs crib sheet or paste ups,Ancient, Economic, Nautical,,Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement
42,Kingdomino,2420,204583,2016,196,7.38,19592,152.23884297520658,0.15072995466871142,1.212,4,8,2,15,33541,20,1.12122,353,381,2465,2016,Bruno Cathala,"Blue Orange (EU), Blue Orange Games, Fantasmagoria, Feelindigo, FoxGames, FoxMind Israel, Games Factory Publishing, Gém Klub Kft., Le Grand Massif, Happy Baobab, Kaissa Chess & Games, Lautapelit.fi, Lifestyle Boardgames Ltd, MINDOK, Oliphante, PaperGames (III), Pegasus Spiele, Pridemage Games, Swan Panasia Co., Ltd., テンデイズゲームズ (Ten Days Games), White Goblin Games",No necessary in-game text,City Building, Fantasy, Medieval, Territory Building,Card Drafting, Pattern Building, Tile Placement,
43,Elder Sign,3259,100423,2011,491,7.01,19307,208.332003682111,0.09406918073899047,2.3542,8,13,1,90,31025,90,1.38376,736,360,2955,2011,Richard Launius    Kevin Wilson,"Fantasy Flight Games, ADC Blackfire Entertainment, Arclight, Delta Vision Publishing, Edge Entertainment, Galakta, Galápagos Jogos, Heidelberger Spieleverlag, Hobby World, Stratelibri, Wargames Club Publishing",Some necessary text - easily memorized or small crib sheet,Adventure, Card Game, Dice," Fantasy, Fighting, Horror, Novel-based",Cooperative Play, Dice Rolling, Modular Board, Variable Player Powers
44,Descent: Journeys in the Dark (Second Edition),2564,104162,2012,82,7.73,19241,252.37909516380654,0.13617604651319504,3.2052,5,14,2,120,30735,120,1.46019,709,745,5649,2012,Daniel Clark  I     Corey Konieczka    Adam Sadler    Kevin Wilson,"Fantasy Flight Games, ADC Blackfire Entertainment, Arclight, Delta Vision Publishing, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag, Hobby World, Wargames Club Publishing",Extensive use of text - massive conversion needed to be playable,Adventure, Exploration, Fantasy," Fighting, Miniatures",Action Point Allowance System, Dice Rolling, Grid Movement," Hand Management, Modular Board, Partnerships, Variable Player Powers"
