,index,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,Good_bad,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamecategory2,boardgamemechanic2,boardgamepublisher2,suggested_language_dependence3,Strategy Game Rank,Family Game Rank,mech1,mech2,mech3,other mech,playingtime_cat
12662,12662,Siberia: The Card Game,77,131246,2012,3249,6.81,388,162.22077922077918,Bad,0.08424100336740628,2.0,4,9,2,20,570,20,1.16469,18,38,142,2012,Reiner Stockhausen,"Card Game, Economic","Deck / Pool Building, Hand Management","Coffee Haus Games, dlp games, Oya",No necessary in-game text,,829.0,Deck / Pool Building, Hand Management,,,1_<= 30
12772,12772,Skull King,280,150145,2013,832,7.26,2035,170.73214285714286,Good,0.11766624968267796,1.8358,6,8,2,30,4015,30,1.34075,60,74,377,2013,Brent Beck    Apryl Stott,"Card Game, Pirates",Trick-taking,"Devir, ""Grandpa Becks Games"", Schmidt Spiele",No necessary in-game text,,170.0,Trick-taking,,,,1_<= 30
12782,12782,Sky Tango,99,126750,2012,3482,6.39,567,181.6868686868687,Bad,0.08563592524526432,1.3824,4,8,2,20,1166,20,1.32571,45,22,127,2012,Johann Rüttinger    Jacques Zeimet,"Animals, Card Game","Hand Management, Set Collection","Drei Hasen in der Abendsonne, AURUM, Inc., Filosofia Éditions, Granna, Jolly Thinkers, Z-Man Games, Inc.",No necessary in-game text,,928.0,Hand Management, Set Collection,,,1_<= 30
12785,12785,Skyjo,38,204135,2015,3775,6.87,302,152.9736842105263,Bad,0.0003497671158032824,1.2308,8,8,2,15,599,45,1.33612,5,6,44,2015,Alexander Bernhardt,Card Game,Set Collection,Magilano,No necessary in-game text,,926.0,Set Collection,,,,2_31-60
12787,12787,Skyline,286,121423,2012,3721,6.0,1278,200.72377622377616,Bad,0.09919339508090076,1.2897,4,10,1,10,1706,20,1.2405899999999999,117,27,144,2012,David Short,"City Building, Dice","Dice Rolling, Press Your Luck, Set Collection",Tasty Minstrel Games,No necessary in-game text,,998.0,Dice Rolling, Press Your Luck, Set Collection,,1_<= 30
12790,12790,Skyliners,44,182605,2015,6299,6.02,320,134.5,Bad,0.07034583235577556,2.0,4,8,2,30,688,40,1.2677100000000001,47,5,82,2015,Gabriele Bubola,City Building,Pattern Building,"Filosofia Éditions, Hans im Glück, Lautapelit.fi, Swan Panasia Co., Ltd., Z-Man Games, Inc.",No necessary in-game text,,1301.0,Pattern Building,,,,2_31-60
12837,12837,Smash Up: Awesome Level 9000,478,134726,2013,421,7.3,5952,96.92887029288704,Good,0.13732813815045378,2.1302,2,12,2,45,16009,45,1.31764,389,70,582,2013,Paul Peterson,"Card Game, Fantasy, Horror, Humor, Spies/Secret Agents","Area Control / Area Influence, Hand Management, Take That, Variable Player Powers","Alderac Entertainment Group, Bard Centrum Gier, Edge Entertainment, Galápagos Jogos, Hobby World, IELLO, Kaissa Chess & Games, Pegasus Spiele, uplay.it edizioni",Extensive use of text - massive conversion needed to be playable,297.0,86.0,Area Control / Area Influence, Hand Management, Take That, Variable Player Powers,2_31-60
12841,12841,Smash Up: Monster Smash,193,160018,2014,651,7.36,2559,80.99481865284973,Good,0.15557976065056692,2.2821,2,12,2,30,8588,45,1.271,132,117,583,2014,Paul Peterson,"Card Game, Fantasy, Humor, Mythology, Science Fiction, Zombies","Area Control / Area Influence, Hand Management, Take That, Variable Player Powers","Alderac Entertainment Group, Edge Entertainment, IELLO, Pegasus Spiele, uplay.it edizioni",Extensive use of text - massive conversion needed to be playable,388.0,128.0,Area Control / Area Influence, Hand Management, Take That, Variable Player Powers,2_31-60
12873,12873,Snapshot,109,66116,2010,5720,6.25,248,186.80733944954127,Bad,0.0933533204718491,1.25,6,8,2,30,289,30,1.3694,12,42,52,2010,Rüdiger Dorn,Action / Dexterity,Set Collection,"Competo / Marektoy, Kaissa Chess & Games, KOSMOS, Vennerød Forlag AS",No necessary in-game text,,1239.0,Set Collection,,,,1_<= 30
12876,12876,Sneaks & Snitches,198,55601,2010,2958,6.33,888,188.1767676767677,Bad,0.07215582633418345,1.4167,5,9,2,20,1170,20,1.36356,63,44,198,2010,Vlaada Chvátil,"Bluffing, Card Game, Spies/Secret Agents","Set Collection, Simultaneous Action Selection","Czech Games Edition, Dino Toys s. r. o., Eagle-Gryphon Games, Heidelberger Spieleverlag, HomoLudicus",No necessary in-game text,,817.0,Set Collection, Simultaneous Action Selection,,,1_<= 30
12898,12898,Sobek,296,67185,2010,1530,6.71,1846,201.73648648648648,Bad,0.09996447100696264,1.7931,4,8,2,40,2079,40,1.21999,71,67,284,2010,Bruno Cathala,"Ancient, Card Game","Card Drafting, Hand Management, Memory, Set Collection","Asmodee, GameWorks SàRL",No necessary in-game text,,399.0,Card Drafting, Hand Management, Memory, Set Collection,2_31-60
12904,12904,Soccero (second edition),43,131581,2012,4675,7.2,164,202.1627906976744,Good,0.14523284346467485,1.7333,2,11,2,45,289,45,1.51524,7,35,86,2012,Jarmo Kuitunen    Martti Ojalainen,Sports,"Grid Movement, Roll / Spin and Move, Simulation","Gamina Ltd, Passport Game Studios",No necessary in-game text,,1139.0,Grid Movement, Roll / Spin and Move, Simulation,,2_31-60
12925,12925,Solenia,97,254018,2018,1807,7.32,681,257.77319587628864,Good,0.14112039054824904,2.2812,4,10,1,30,1243,45,1.2326,14,222,1033,2018,Sébastien Dujardin,"Card Game, Exploration","Hand Management, Modular Board",Pearl Games,No necessary in-game text,791.0,386.0,Hand Management, Modular Board,,,2_31-60
12953,12953,Songbirds,103,212765,2016,2534,7.02,499,235.29126213592232,Good,0.11452750245200916,1.7647,4,8,1,20,1204,20,1.2016,24,92,280,2016,ゆお  Yuo,"Abstract Strategy, Animals, Card Game","Area Control / Area Influence, Hand Management","こっち屋 (Kocchiya), Daily Magic Games, Gen-X Games, Homosapiens Lab, PixieGames, Schwerkraft-Verlag",No necessary in-game text,,629.0,Area Control / Area Influence, Hand Management,,,1_<= 30
12994,12994,Souvlaki Wars,79,66437,2011,4229,6.46,391,209.49367088607602,Bad,0.11072584639964107,1.5312,4,10,2,30,484,30,1.3574700000000002,39,17,46,2011,Vangelis Bagiartakis,"Card Game, Humor","Card Drafting, Hand Management",Kaissa Chess & Games,Moderate in-game text - needs crib sheet or paste ups,,1038.0,Card Drafting, Hand Management,,,1_<= 30
12998,12998,Space Base,431,242302,2018,563,7.44,2658,292.29466357308587,Good,0.10746563107142107,2.1429,5,14,2,60,4762,60,1.2612700000000001,42,478,1742,2018,John D  Clair,"Dice, Science Fiction, Space Exploration","Card Drafting, Dice Rolling","Alderac Entertainment Group, Asmodee, Edge Entertainment",Some necessary text - easily memorized or small crib sheet,,80.0,Card Drafting, Dice Rolling,,,2_31-60
13028,13028,Space Mission,88,105199,2011,5308,6.08,415,237.5909090909091,Bad,0.07455005878702403,1.8286,5,10,2,45,489,45,1.25195,38,12,62,2011,Matt Worden,"Science Fiction, Space Exploration","Hand Management, Modular Board, Set Collection","Desyllas Games, Schmidt Spiele",No necessary in-game text,,1206.0,Hand Management, Modular Board, Set Collection,,2_31-60
13069,13069,Spectaculum,148,104573,2012,3299,6.42,573,263.5540540540541,Bad,0.05364487931506928,1.7143,4,8,2,30,880,45,1.19454,63,26,129,2012,Reiner Knizia,Fantasy,"Area Enclosure, Commodity Speculation, Stock Holding, Tile Placement","eggertspiele, Oya, Pegasus Spiele, R&R Games",No necessary in-game text,,865.0,Area Enclosure, Commodity Speculation, Stock Holding, Tile Placement,2_31-60
13082,13082,Speed Cups,110,146149,2013,3329,6.22,928,111.84545454545454,Bad,0.0344227718980154,1.0541,4,6,2,15,1624,15,1.3092,15,10,73,2013,Haim Shafir,"Action / Dexterity, ""Childrens Game"", Real-time",Pattern Building,"999 Games, AMIGO, Brain Games, Broadway Toys LTD, G3, Gigamic, Giochi Uniti, Kaissa Chess & Games, Kikigagne?, Korea Boardgames co., Ltd., Lautapelit.fi, Mercurio, Shafir Games (המשחקים של חיים שפיר), Spin Master Ltd., Swan Panasia Co., Ltd.",No necessary in-game text,,904.0,Pattern Building,,,,1_<= 30
13097,13097,Spexxx,57,150580,2013,5390,6.41,292,257.140350877193,Bad,0.08357182674589213,1.5333,4,8,2,30,310,60,1.3545200000000002,8,6,34,2013,Ruben Dijkstra    Ruurd Lammers,Dice,"Dice Rolling, Pattern Building",Waterfall Games,No necessary in-game text,,1208.0,Dice Rolling, Pattern Building,,,2_31-60
13129,13129,Spirits of the Wild,76,256606,2018,2422,7.49,397,211.44736842105263,Good,0.15385978127014316,1.2857,2,10,2,15,1358,30,1.0396,19,74,356,2018,Nick Hayes,"Abstract Strategy, Animals, Fantasy","Hand Management, Set Collection",Mattel,Some necessary text - easily memorized or small crib sheet,,499.0,Hand Management, Set Collection,,,1_<= 30
13140,13140,Splendor,5755,148228,2014,129,7.47,44723,172.07072111207646,Good,0.12201239692305355,1.8142,4,10,2,30,61834,30,1.29256,591,785,6131,2014,Marc André,"Card Game, Economic, Renaissance","Card Drafting, Set Collection","Space Cowboys, Asmodee, Asterion Press, Boardgame Space, Broadway Toys LTD, Days of Wonder, Filosofia Éditions, Galápagos Jogos, Gém Klub Kft., GoKids 玩樂小子, Hobby Japan, JD Éditions, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lautapelit.fi, Lex Games, Morapiaf, NeoTroy Games, Rebel, Siam Board Games",No necessary in-game text,,18.0,Card Drafting, Set Collection,,,1_<= 30
13168,13168,Sprawlopolis,192,251658,2018,1478,7.49,760,179.44270833333337,Good,0.11956574011400074,1.68,4,8,1,15,2331,20,1.0953,18,106,476,2018,Steven Aramini    Danny Devine    Paul Kluka,"Card Game, City Building, Territory Building","Area Control / Area Influence, Cooperative Play, Tile Placement","Button Shy, Quined Games, Salt & Pepper Games",Some necessary text - easily memorized or small crib sheet,,318.0,Area Control / Area Influence, Cooperative Play, Tile Placement,,1_<= 30
13171,13171,Spring Meadow,93,253684,2018,2080,7.19,579,301.05376344086017,Good,0.15844489627911634,2.0,4,10,1,15,1285,60,1.28311,24,167,628,2018,Uwe Rosenberg,"Abstract Strategy, Animals, Puzzle","Pattern Building, Tile Placement","Edition Spielwiese, Act in games, Cranio Creations, Gen-X Games, Pegasus Spiele, SD Games, Stronghold Games, White Goblin Games",No necessary in-game text,,473.0,Pattern Building, Tile Placement,,,2_31-60
13179,13179,Spy Club,68,227545,2018,2643,7.35,371,423.10294117647067,Good,0.10542080791075516,2.1538,4,10,2,45,1167,45,1.33799,37,118,553,2018,Randy Hoyt    Jason D  Kingsley,,"Action Point Allowance System, Cooperative Play, Memory, Set Collection","Foxtrot Games, Renegade Game Studios",Extensive use of text - massive conversion needed to be playable,,663.0,Action Point Allowance System, Cooperative Play, Memory, Set Collection,2_31-60
13220,13220,Stak Bots,24,143323,2013,7467,6.34,156,128.66666666666666,Bad,0.08420965608465608,1.6,6,7,2,10,282,10,1.64304,6,3,17,2013,Tom Norfolk,Card Game,Hand Management,"2D6.EE, DogEared Games",Moderate in-game text - needs crib sheet or paste ups,,1448.0,Hand Management,,,,1_<= 30
13251,13251,Star Fluxx,561,102104,2011,1839,6.38,4371,143.37789661319073,Bad,0.12186468530344435,1.4335,6,8,2,10,10071,10,1.6503,184,37,372,2011,Andrew Looney,"Card Game, Science Fiction","Hand Management, Set Collection","Black Monk, Looney Labs",Extensive use of text - massive conversion needed to be playable,,645.0,Hand Management, Set Collection,,,1_<= 30
13281,13281,Star Trek: Catan,460,117985,2012,895,7.03,2817,194.17391304347825,Good,0.12895799836595284,2.377,4,10,3,75,7214,75,1.33883,188,124,676,2012,Klaus Teuber,"Movies / TV / Radio theme, Negotiation, Science Fiction","Dice Rolling, Hand Management, Modular Board, Route/Network Building, Trading","Catan Studio, KOSMOS, 999 Games, Devir, Filosofia Éditions, Giochi Uniti, Mayfair Games, Stupor Mundi",Some necessary text - easily memorized or small crib sheet,580.0,217.0,Dice Rolling, Hand Management, Modular Board," Route/Network Building, Trading",3_61-120
13284,13284,Star Trek: Five-Year Mission,226,178613,2015,2371,6.51,1177,170.1371681415929,Bad,0.06042854191389276,1.8,7,10,3,30,2481,45,1.46246,76,74,375,2015,David E  Whitcher,"Dice, Movies / TV / Radio theme, Science Fiction","Cooperative Play, Dice Rolling, Variable Player Powers",Mayfair Games,Moderate in-game text - needs crib sheet or paste ups,,668.0,Cooperative Play, Dice Rolling, Variable Player Powers,,2_31-60
13316,13316,Star Wars: Angriff der Klonkrieger,32,127438,2012,5921,6.39,178,355.53125,Bad,0.1247659056809932,2.0526,4,8,2,45,323,45,1.40096,17,29,50,2012,Inka Brand    Markus Brand,"Movies / TV / Radio theme, Science Fiction",Cooperative Play,KOSMOS,Some necessary text - easily memorized or small crib sheet,,1263.0,Cooperative Play,,,,2_31-60
13321,13321,Star Wars: Battle of Hoth,43,116981,2012,6829,6.06,213,188.7441860465116,Bad,0.07369539105726358,1.1176,4,8,2,15,555,15,1.32682,14,26,84,2012,Bastiaan Brederode    Cephas Howard,Science Fiction,"Dice Rolling, Point to Point Movement",LEGO,No necessary in-game text,,1391.0,Dice Rolling, Point to Point Movement,,,1_<= 30
13327,13327,Star Wars: Empire vs. Rebellion,226,160964,2014,2405,6.38,1418,180.75221238938053,Bad,0.05748098160333946,1.7143,2,10,2,60,3495,60,1.32333,158,25,145,2014,Sébastien Gigaudaut    David Rakoto    Nikki Valens,"Bluffing, Card Game, Movies / TV / Radio theme, Science Fiction","Deck / Pool Building, Hand Management, Variable Player Powers","Bergsala Enigma, Delta Vision Publishing, Edge Entertainment, Fantasy Flight Games, Galakta, Galápagos Jogos, Giochi Uniti, Heidelberger Spieleverlag, Kaissa Chess & Games",Moderate in-game text - needs crib sheet or paste ups,,692.0,Deck / Pool Building, Hand Management, Variable Player Powers,,2_31-60
13406,13406,Steam Park,750,121410,2013,745,6.92,5014,223.30266666666665,Bad,0.1124715593853674,2.0995,4,8,2,60,7818,60,1.21479,362,247,1265,2013,Aureliano Buonfino    Lorenzo Silva    Lorenzo Tucci Sorrentino,"City Building, Dice, Real-time, Science Fiction","Card Drafting, Dice Rolling, Memory, Modular Board","Cranio Creations, ADC Blackfire Entertainment, Edge Entertainment, Heidelberger Spieleverlag, Hobby Japan, Horrible Games, IELLO, Trefl Joker Line, Нескучные игры",Some necessary text - easily memorized or small crib sheet,,188.0,Card Drafting, Dice Rolling, Memory, Modular Board,2_31-60
13413,13413,Steampunk Rally,727,162007,2015,465,7.28,4715,255.818431911967,Good,0.10033761619896342,2.5402,8,14,2,45,7121,60,1.27617,177,325,1652,2015,Orin Bishop,"Racing, Science Fiction","Card Drafting, Dice Rolling, Modular Board, Simultaneous Action Selection, Variable Player Powers","Roxley, (Web published), Games Factory Publishing",Some necessary text - easily memorized or small crib sheet,299.0,90.0,Card Drafting, Dice Rolling, Modular Board," Simultaneous Action Selection, Variable Player Powers",2_31-60
13460,13460,Stones of Fate,47,130499,2015,6015,6.64,197,183.6382978723404,Bad,0.1273081065759637,1.6667,4,12,2,20,443,30,1.62842,29,4,54,2015,Luke Laurie,"Bluffing, Card Game, Memory, Mythology, Renaissance","Area Control / Area Influence, Auction/Bidding, Memory, Pattern Recognition, Set Collection",Cosmic Wombat Games,Moderate in-game text - needs crib sheet or paste ups,1643.0,1291.0,Area Control / Area Influence, Auction/Bidding, Memory," Pattern Recognition, Set Collection",1_<= 30
13470,13470,Stop Thief!,164,215312,2017,1665,7.09,966,205.78658536585363,Good,0.13372825441622385,1.6154,4,10,2,30,2252,60,1.2314100000000001,55,103,466,2017,Rob Daviau    Robert Doyle    Justin D  Jacobson,"Deduction, Electronic","Cooperative Play, Hand Management, Memory, Point to Point Movement, Take That, Variable Player Powers",Restoration Games,Some necessary text - easily memorized or small crib sheet,,415.0,Cooperative Play, Hand Management, Memory," Point to Point Movement, Take That, Variable Player Powers",2_31-60
13544,13544,Strike,239,123570,2012,1624,6.76,1530,155.234309623431,Bad,0.10297949600283092,1.0588,5,8,2,15,1985,15,1.56935,15,123,340,2012,Dieter Nüßle,"Action / Dexterity, Dice","Dice Rolling, Press Your Luck","Ravensburger Spieleverlag GmbH, Super-Pauli",No necessary in-game text,,421.0,Dice Rolling, Press Your Luck,,,1_<= 30
13562,13562,Struggle for Catan,338,91534,2011,2629,6.2,2049,165.17455621301775,Bad,0.06571985757671119,1.6716,4,10,2,30,4823,30,1.3532899999999999,254,18,99,2011,Klaus Teuber,"Card Game, City Building","Hand Management, Trading","999 Games, Albi, Catan Studio, Devir, Dexy Co, Filosofia Éditions, Galakta, GP Games, Hobby World, Igroljub, Kaissa Chess & Games, KOSMOS, Mayfair Games",Moderate in-game text - needs crib sheet or paste ups,,794.0,Hand Management, Trading,,,1_<= 30
13570,13570,Stuffed Fables,296,233312,2018,493,7.78,2035,300.69256756756755,Good,0.16748426947936493,2.3929,4,7,2,60,6891,90,1.36605,86,534,2985,2018,Jerry Hawthorne,"Adventure, Animals, Book","Cooperative Play, Dice Rolling, Role Playing, Storytelling, Variable Player Powers","Plaid Hat Games, Asmodee, Crowd Games, Cube Factory of Ideas, Edge Entertainment, MINDOK, Playfun Games",Unplayable in another language,,77.0,Cooperative Play, Dice Rolling, Role Playing," Storytelling, Variable Player Powers",3_61-120
13587,13587,Subdivision,201,155173,2014,2308,6.52,1121,238.13432835820896,Bad,0.09836577866972594,2.3333,4,13,1,45,2442,45,1.26562,190,82,383,2014,Lucas Hedgren,City Building,"Card Drafting, Dice Rolling, Route/Network Building, Tile Placement",Bézier Games,No necessary in-game text,,623.0,Card Drafting, Dice Rolling, Route/Network Building, Tile Placement,2_31-60
13606,13606,Sugar Gliders,45,112192,2012,4528,6.74,231,165.26666666666668,Bad,0.13115506290904885,2.1,4,8,2,30,399,30,1.20165,9,22,92,2012,Néstor Romeral Andrés,"Abstract Strategy, Animals",Grid Movement,"FunBox Jogos, Nasza Księgarnia, nestorgames, White Goblin Games",No necessary in-game text,,1058.0,Grid Movement,,,,1_<= 30
13611,13611,Sultaniya,111,145012,2014,2787,6.6,672,169.8108108108108,Bad,0.13163117024894633,2.0,4,8,2,45,1276,45,1.2357,59,41,198,2014,Charles Chevallier,"Arabian, City Building, Puzzle","Pattern Building, Set Collection, Tile Placement",Bombyx,No necessary in-game text,,734.0,Pattern Building, Set Collection, Tile Placement,,2_31-60
13612,13612,Sultans of Karaya,28,94365,2011,5136,6.35,298,157.46428571428572,Bad,0.08586040483043034,1.7826,15,12,5,60,479,60,1.44003,10,2,27,2011,Alex Weldon,"Arabian, Bluffing","Partnerships, Player Elimination, Variable Player Powers","Brain Games, Heidelberger Spieleverlag, Hobby Japan, Korea Boardgames co., Ltd., Lifestyle Boardgames Ltd, MJ Games, Swan Panasia Co., Ltd.",Some necessary text - easily memorized or small crib sheet,,1151.0,Partnerships, Player Elimination, Variable Player Powers,,2_31-60
13630,13630,Sumoku,24,66695,2010,9726,6.04,111,144.16666666666666,Bad,0.1488026924951267,1.3571,8,9,1,15,319,15,1.39563,18,3,17,2010,Thierry Denoual,"Educational, Math, Number, Party Game, Travel","Cooperative Play, Partnerships, Variable Player Powers","Asmodee, Blue Orange Games",No necessary in-game text,,1510.0,Cooperative Play, Partnerships, Variable Player Powers,,1_<= 30
13641,13641,Sunrise City,238,97357,2012,2172,6.66,983,273.16386554621846,Bad,0.1020400676176181,2.3288,4,10,2,60,1486,60,1.43616,106,70,316,2012,Isaias Vallejo,City Building,"Auction/Bidding, Card Drafting, Tile Placement, Variable Player Powers","Clever Mojo Games, Game Salute",Moderate in-game text - needs crib sheet or paste ups,1007.0,588.0,Auction/Bidding, Card Drafting, Tile Placement, Variable Player Powers,2_31-60
13705,13705,Sushi Go Party!,1632,192291,2016,158,7.52,13497,164.45465686274508,Good,0.15126258512653035,1.3254,8,8,2,20,25591,20,1.14235,169,465,3379,2016,Phil Walker Harding,"Card Game, Party Game","Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection","Gamewright, Devir, Rebel, Reflexshop, uplay.it edizioni, White Goblin Games, Zoch Verlag",Some necessary text - easily memorized or small crib sheet,,21.0,Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection,1_<= 30
13706,13706,Sushi Go!,3573,133473,2013,383,7.08,26452,127.13909879652952,Good,0.15140407467351502,1.1628,5,8,2,15,45559,15,1.13717,766,179,1742,2013,Phil Walker Harding,Card Game,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection","Adventureland Games, ADC Blackfire Entertainment, AURUM, Inc., Cocktail Games, Devir, FoxMind Israel, Gameland 游戏大陆, Gamewright, Hemz Universal Games Co. Ltd., Kanga Games, Lifestyle Boardgames Ltd, NeoTroy Games, Rebel, Reflexshop, uplay.it edizioni, White Goblin Games, Zoch Verlag",No necessary in-game text,,87.0,Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection,1_<= 30
13711,13711,Suspend,119,127784,2012,3264,6.32,800,150.02521008403357,Bad,0.11596355950287862,1.0,4,8,1,15,1741,15,1.36091,36,21,108,2012,,Action / Dexterity,Dice Rolling,Melissa & Doug,No necessary in-game text,,897.0,Dice Rolling,,,,1_<= 30
13789,13789,TOP Kitchen,19,206450,2017,7730,6.74,133,210.21052631578945,Bad,0.16187248215443706,2.0,4,10,2,45,163,70,2.0194900000000002,4,5,33,2017,Mariusz Milewski,"Dice, Economic","Auction/Bidding, Dice Rolling, Hand Management",Quantum Games (II),Moderate in-game text - needs crib sheet or paste ups,,1470.0,Auction/Bidding, Dice Rolling, Hand Management,,3_61-120
13795,13795,TSCHAK!,138,104377,2011,3123,6.39,711,196.0652173913044,Bad,0.09436739121803453,1.5714,4,13,2,40,981,40,1.2335200000000002,55,28,148,2011,Dominique Ehrhard,"Card Game, Fantasy","Auction/Bidding, Hand Management, Memory, Simultaneous Action Selection",GameWorks SàRL,No necessary in-game text,,836.0,Auction/Bidding, Hand Management, Memory, Simultaneous Action Selection,2_31-60
13823,13823,Tahiti,131,118776,2012,3802,6.38,505,215.1068702290076,Bad,0.09481385736953232,1.9167,4,13,2,45,964,60,1.14583,69,27,107,2012,David E  Whitcher,"Exploration, Mythology, Nautical, Transportation","Action Point Allowance System, Grid Movement, Modular Board, Pick-up and Deliver, Set Collection, Tile Placement",Minion Games,No necessary in-game text,,963.0,Action Point Allowance System, Grid Movement, Modular Board," Pick-up and Deliver, Set Collection, Tile Placement",2_31-60
13863,13863,Takenoko,3549,70919,2011,236,7.3,27810,168.29247675401518,Good,0.147837205628773,1.9776,4,8,2,45,42047,45,1.17464,488,807,5500,2011,Antoine Bauza,"Animals, Environmental, Farming, Territory Building","Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board, Pattern Building, Route/Network Building, Set Collection, Tile Placement","Bombyx, Matagot, Asmodee, Asterion Press, Bergsala Enigma, Filosofia Éditions, FoxMind Israel, Galápagos Jogos, Gém Klub Kft., Hobby Japan, Hobby World, Kaissa Chess & Games, Lex Games, Pegasus Spiele, Rebel, REXhry, ""Surfin Meeple China""",No necessary in-game text,,37.0,Action Point Allowance System, Dice Rolling, Grid Movement," Modular Board, Pattern Building, Route/Network Building, Set Collection, Tile Placement",2_31-60
13871,13871,Tales & Games: Aladdin & the Magic Lamp,23,203462,2016,6635,6.56,130,155.43478260869566,Bad,0.15499396135265694,1.2,5,8,2,20,513,20,1.44813,11,13,85,2016,Tiago Damey,"Action / Dexterity, Arabian, ""Childrens Game"", Fantasy, Novel-based","Press Your Luck, Set Collection, Simultaneous Action Selection","Asmodee, IELLO, Purple Brain Creations",No necessary in-game text,,1330.0,Press Your Luck, Set Collection, Simultaneous Action Selection,,1_<= 30
13875,13875,Tales & Games: The Grasshopper & the Ant,45,152851,2015,5115,6.34,282,262.5555555555556,Bad,0.09035363791623648,1.5,4,8,2,30,943,30,1.2968899999999999,26,23,127,2015,Yoann Levet,"Animals, Bluffing, Novel-based","Set Collection, Stock Holding","Purple Brain Creations, 2 Pionki, Asmodee, Asterion Press, GoKids 玩樂小子, IELLO, Lex Games, Portal Games",No necessary in-game text,,1158.0,Set Collection, Stock Holding,,,1_<= 30
13876,13876,Tales & Games: The Hare & the Tortoise,489,130176,2011,730,7.11,3064,166.41717791411043,Good,0.11484633434402455,1.4123,5,7,2,15,5430,20,1.14309,82,148,720,2011,Gary Kim,"Animals, Card Game, ""Childrens Game"", Novel-based, Racing","Betting/Wagering, Hand Management","2 Pionki, Albi, Asmodee, Asterion Press, FunBox Jogos, GoKids 玩樂小子, HomoLudicus, IELLO, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lex Games, Piece Craft, Portal Games, Purple Brain Creations",No necessary in-game text,,155.0,Betting/Wagering, Hand Management,,,1_<= 30
13878,13878,Tales & Games: The Three Little Pigs,291,135649,2013,2039,6.51,1531,150.6701030927835,Bad,0.12155643491948386,1.1667,5,7,2,20,3079,20,1.1758600000000001,81,52,281,2013,Laurent Pouchain,"Animals, ""Childrens Game"", Dice, Novel-based","Dice Rolling, Press Your Luck, Take That","2 Pionki, Albi, Asmodee, Asterion Press, Delta Vision Publishing, GoKids 玩樂小子, HomoLudicus, IELLO, Kaissa Chess & Games, Lex Games, Portal Games, Purple Brain Creations",No necessary in-game text,,570.0,Dice Rolling, Press Your Luck, Take That,,1_<= 30
14001,14001,Templar: The Secret Treasures,76,137406,2013,4839,6.35,315,256.3947368421053,Bad,0.016979560411712512,2.2609,5,8,2,60,845,60,1.3964299999999998,63,16,110,2013,Jesús Torres Castro,"Adventure, Exploration, Medieval",Area Movement,Queen Games,No necessary in-game text,,1145.0,Area Movement,,,,2_31-60
14032,14032,Terra,390,153507,2014,1439,6.83,1633,230.95897435897442,Bad,0.061716067189419285,1.4792,6,10,2,45,2483,60,1.1871200000000002,97,83,371,2014,Friedemann Friese,"Educational, Trivia",Betting/Wagering,"999 Games, Bard Centrum Gier, Bézier Games, Competo / Marektoy, Devir, dV Giochi, Gém Klub Kft., GoKids 玩樂小子, Hobby Japan, HUCH!, MINDOK",Extensive use of text - massive conversion needed to be playable,,353.0,Betting/Wagering,,,,2_31-60
14050,14050,Terror in Meeple City,1266,97903,2013,700,6.9,6652,174.76303317535545,Bad,0.0936488999343742,1.4841,4,8,2,45,10612,45,1.26115,362,337,1549,2013,Antoine Bauza    Ludovic Maublanc,"Action / Dexterity, Horror","Area Movement, Set Collection, Variable Player Powers",Repos Production,No necessary in-game text,,182.0,Area Movement, Set Collection, Variable Player Powers,,2_31-60
14077,14077,Thanos Rising: Avengers Infinity War,172,248158,2018,1564,7.26,984,222.06976744186048,Good,0.11010430920205404,2.05,4,10,2,60,1941,90,1.3584,20,130,497,2018,Andrew Wolf,"Card Game, Comic Book / Strip, Dice, Movies / TV / Radio theme","Card Drafting, Cooperative Play, Dice Rolling",The OP,Some necessary text - easily memorized or small crib sheet,,365.0,Card Drafting, Cooperative Play, Dice Rolling,,3_61-120
14081,14081,That's Pretty Clever,775,244522,2018,201,7.65,5368,179.1638709677419,Good,0.1352096902802178,1.9103,4,8,1,30,8458,30,1.12439,34,318,1533,2018,Wolfgang Warsch,Dice,"Dice Rolling, Paper-and-Pencil","Schmidt Spiele, 999 Games, G3, Stronghold Games",No necessary in-game text,,19.0,Dice Rolling, Paper-and-Pencil,,,1_<= 30
